year_week,week_index,year,pollutant,value,threshold_pc75,distance_from_thr,exposed,weight
2024-W05,40,2024,PM2.5,49.81,21.31,28.500357142857144,1,0.8540715159142651
2024-W06,41,2024,PM2.5,21.52285714285714,21.31,0.21321428571428314,1,0.04877351401030325
2024-W07,42,2024,PM2.5,72.90714285714287,21.31,51.59750000000001,1,1.0
2024-W08,43,2024,PM2.5,14.357142857142858,21.31,-6.952500000000001,0,0.01
2024-W09,44,2024,PM2.5,11.04857142857143,21.31,-10.261071428571428,0,0.01
2024-W10,45,2024,PM2.5,15.0,21.31,-6.309642857142858,0,0.01
2024-W11,46,2024,PM2.5,21.23857142857143,21.31,-0.0710714285714289,0,0.01
2024-W12,47,2024,PM2.5,16.428571428571427,21.31,-4.881071428571431,0,0.01
2024-W13,48,2024,PM2.5,11.525714285714288,21.31,-9.78392857142857,0,0.01
2024-W14,49,2024,PM2.5,12.904285714285717,21.31,-8.405357142857142,0,0.01
2024-W15,50,2024,PM2.5,13.952857142857145,21.31,-7.356785714285714,0,0.01
2024-W16,51,2024,PM2.5,5.762857142857143,21.31,-15.546785714285715,0,0.01
2024-W17,52,2024,PM2.5,10.714285714285714,21.31,-10.595357142857145,0,0.01
2024-W18,53,2024,PM2.5,6.88,21.31,-14.42964285714286,0,0.01
2024-W19,54,2024,PM2.5,12.381428571428572,21.31,-8.928214285714287,0,0.01
2024-W20,55,2024,PM2.5,7.95,21.31,-13.359642857142859,0,0.01
2024-W21,56,2024,PM2.5,8.737142857142858,21.31,-12.5725,0,0.01
2024-W22,57,2024,PM2.5,6.142857142857143,21.31,-15.166785714285716,0,0.01
2024-W23,58,2024,PM2.5,8.569999999999999,21.31,-12.73964285714286,0,0.01
2024-W24,59,2024,PM2.5,10.857142857142858,21.31,-10.4525,0,0.01
2024-W25,60,2024,PM2.5,8.522857142857143,21.31,-12.786785714285715,0,0.01
2024-W26,61,2024,PM2.5,10.881428571428572,21.31,-10.428214285714287,0,0.01
2024-W27,62,2024,PM2.5,11.928571428571429,21.31,-9.38107142857143,0,0.01
